title,price,rating,reviews,availability
Sony PlayStation 4 500GB Console (Renewed),$170.00 with 5 percent savings,4.0 out of 5 stars,"3,309 ratings",In Stock
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),$192.00,4.1 out of 5 stars,"1,665 ratings",In Stock
Sony Playstation PS4 1TB Black Console,$219.65,4.5 out of 5 stars,"1,725 ratings",Only 14 left in stock - order soon.
Sony PlayStation 4 PRO 1TB Gaming Console - Black (Renewed),$222.74,4.1 out of 5 stars,277 ratings,In Stock
"Zeust PlayStation 4 Slim 1TB Console Bundle - Includes the PS4 Console Slim 1TB, 2 Dualshock 4 Wireless Controllers, MicroUSB Charging Cable, HDMI cable, Wired Earbuds and Microfiber Cloth (Renewed)",$284.98,3.6 out of 5 stars,41 ratings,In Stock
Sony PlayStation 4 500GB Premium Bundle (Renewed),$195.00,3.6 out of 5 stars,106 ratings,Only 15 left in stock - order soon.
"PlayStation 4 Slim 500GB Console Bundle - Includes the PS4 Slim Console 500GB, 2 Dualshock 4 Wireless Controllers, MicroUSB Charging Cable, HDMI cable, Wired Earbuds and Microfiber Cloth (Renewed)",$253.99,2.7 out of 5 stars,18 ratings,In Stock
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",$185.99 with 48 percent savings,4.2 out of 5 stars,616 ratings,Only 10 left in stock - order soon.
"Sony Playstation 4 500GB white, 9466314 (Renewed)",$208.47,3.8 out of 5 stars,117 ratings,Only 6 left in stock - order soon.
Sony PlayStation 4 Dual Player Gaming Bundle (Renewed),$254.01 with 6 percent savings,3.3 out of 5 stars,12 ratings,Only 12 left in stock - order soon.
Sony PlayStation 4 Console 1TB - Black (Renewed),$202.91,3.8 out of 5 stars,58 ratings,Only 2 left in stock - order soon.
PlayStation 4,$153.80,4.5 out of 5 stars,"13,735 ratings",Only 4 left in stock - order soon.
PlayStation 4 Slim 1TB Console,$198.98,4.5 out of 5 stars,340 ratings,Only 1 left in stock - order soon.
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,$299.99,4.5 out of 5 stars,190 ratings,Only 2 left in stock - order soon.
Sony PlayStation 4 Slim 500GB Premium Bundle (Renewed),$229.99,4.1 out of 5 stars,10 ratings,In Stock
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle (Renewed) [video game],$267.27 with 8 percent savings,4.4 out of 5 stars,30 ratings,Only 2 left in stock - order soon.
